test_year,train_through,valid_year,best_iter,test_rows,naive_mae,model_mae,mae_improvement,naive_rmse,model_rmse,rmse_improvement
2018,2016,2017,35,74712,25265.158203125,25558.73046875,-293.572265625,84112.04717518175,81297.32413800592,2814.723037175834
2019,2017,2018,123,74712,26492.818359375,26490.4296875,2.388671875,101042.69450088908,94788.58597953658,6254.108521352493
2020,2018,2019,943,74712,28014.23046875,27774.876953125,239.353515625,110687.83810337972,105489.5034019973,5198.334701382424
2021,2019,2020,250,74712,29937.568359375,29430.271484375,507.296875,116011.57238827513,111102.64976138058,4908.9226268945495
2022,2020,2021,336,74712,36334.640625,35535.56640625,799.07421875,135649.00023221696,127678.97743951429,7970.022792702672
2023,2021,2022,322,74712,40083.59765625,39614.27734375,469.3203125,148991.50515381742,140166.721300029,8824.783853788424
